Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C0603",143.568000,-46.062000,-90.000000,top
"C2","1.0uF","C0603",189.338000,-79.912000,0.000000,top
"C3","1.0uF","C0603",194.418000,-91.596000,180.000000,top
"C4","1.0uF","C0603",208.000000,-131.010000,0.000000,top
"C5","4.7uF","CAP-SMD_BD4.0-L4.3-W4.3-LS5.3-FD",198.000000,-135.750000,-90.000000,top
"C6","0.1uF","C0603",202.568000,-90.245000,-90.000000,top
"C7","47uF","CAP-SMD_BD6.3-L6.6-W6.6-FD",179.250000,-77.580000,-90.000000,top
"C8","0.1uF","C0603",185.500000,-85.500000,-90.000000,top
"C9","0.1uF","C0603",204.203000,-136.175000,-90.000000,top
"C10","0.1uF","C0603",200.150000,-125.010000,180.000000,top
"C11","0.1uF","C0603",137.350000,-80.850000,0.000000,top
"C12","10uF","CAP-SMD_BD4.0-L4.3-W4.3-FD",118.250000,-58.000000,-90.000000,top
"C13","0.1uF","C0603",209.920000,-56.935000,90.000000,top
"C14","10uF","CAP-SMD_BD4.0-L4.3-W4.3-FD",215.000000,-77.660000,-90.000000,top
"C15","0.1uF","C0603",33.280000,-30.700000,90.000000,top
"C16","0.1uF","C0603",57.280000,-27.000000,-90.000000,top
"C17","0.1uF","C0603",57.280000,-30.700000,90.000000,top
"C18","0.1uF","C0603",33.280000,-27.000000,-90.000000,top
"C19","47uF","CAP-SMD_BD6.3-L6.6-W6.6-FD",24.750000,-36.750000,180.000000,top
"C20","22uF","C0603",126.000000,-90.000000,-90.000000,top
"C21","470pF","C0603",198.640000,-98.175500,0.000000,top
"C22","470pF","C0603",207.700000,-108.000000,-90.000000,top
"C23","470pF","C0603",119.408000,-83.142000,0.000000,top
"C24","0.1uF","C0603",176.282000,-45.570000,90.000000,top
"C25","0.1uF","C0603",198.032000,-45.570000,90.000000,top
"C26","0.1uF","C0603",219.775000,-45.520000,90.000000,top
"C27","0.1uF","C0603",241.700000,-45.570000,90.000000,top
"C28","0.1uF","C0603",209.935000,-121.780000,90.000000,top
"C29","0.1uF","C0603",218.785000,-136.175000,90.000000,top
"C30","0.1uF","C0603",247.145000,-114.000000,90.000000,top
"C31","0.1uF","C0603",246.000000,-127.062000,90.000000,top
"C32","0.1uF","C0603",233.477500,-123.600000,90.000000,top
"C33","47pF","C0603",130.190500,-53.845500,-90.000000,top
"C34","47pF","C0603",211.201000,-110.421500,180.000000,top
"C35","47pF","C0603",118.400000,-78.950000,180.000000,top
"C36","0.1uF","C0603",126.825000,-74.578000,90.000000,top
"C37","0.1uF","C0603",167.505000,-139.885000,0.000000,top
"C38","0.1uF","C0603",139.819000,-107.820000,-90.000000,top
"C39","47pF","C0603",238.000000,-130.500000,180.000000,top
"C40","0.1uF","C0603",163.763000,-62.782000,-90.000000,top
"C41","0.1uF","C0603",89.572500,-46.000000,-90.000000,top
"C42","0.1uF","C0603",91.648000,-95.314000,-90.000000,top
"C43","22pF","C0603",127.440500,-53.845500,-90.000000,top
"C44","0.1uF","C0603",103.000000,-69.500000,90.000000,top
"C45","0.1uF","C0603",91.271000,-82.437000,90.000000,top
"C46","0.1uF","C0603",91.009000,-57.949000,90.000000,top
"C47","0.1uF","C0603",91.368000,-69.610000,90.000000,top
"C48","0.1uF","C0603",202.690000,-77.750000,90.000000,top
"C49","0.1uF","C0603",194.768000,-104.745000,90.000000,top
"C50","0.1uF","C0603",113.250000,-90.000000,90.000000,top
"C51","0.1uF","C0603",149.913000,-62.726000,90.000000,top
"C52","0.1uF","C0603",209.848000,-104.745000,90.000000,top
"C53","0.1uF","C0603",116.058000,-45.976000,90.000000,top
"C54","0.1uF","C0603",107.204000,-46.000000,90.000000,top
"C55","0.1uF","C0603",129.536000,-45.976000,90.000000,top
"C56","0.1uF","C0603",136.036000,-62.788000,90.000000,top
"C57","0.1uF","C0603",127.965000,-90.008000,90.000000,top
"C58","0.1uF","C0603",157.952000,-74.307500,90.000000,top
"C59","0.1uF","C0603",96.700000,-40.900000,0.000000,top
"C60","0.1uF","C0603",202.109000,-66.810000,90.000000,top
"C61","0.1uF","C0603",115.050000,-69.500000,90.000000,top
"C62","0.1uF","C0603",231.640000,-136.216000,90.000000,top
"C63","0.1uF","C0603",228.766000,-93.062000,90.000000,top
"C64","0.1uF","C0603",245.898000,-60.000000,90.000000,top
"C65","0.1uF","C0603",114.119000,-115.575000,90.000000,top
"C66","0.1uF","C0603",113.889000,-101.513000,90.000000,top
"C67","0.1uF","C0603",248.640000,-87.683000,90.000000,top
"C68","0.1uF","C0603",245.898000,-100.491000,90.000000,top
"C69","0.1uF","C0603",245.898000,-74.300000,90.000000,top
"C70","33uF","CAP-SMD_BD6.3-L6.6-W6.6-FD",113.282000,-139.456000,180.000000,top
"C71","10uF","CAP-SMD_BD4.0-L4.3-W4.3-FD",136.782000,-133.456000,180.000000,top
"C72","33uF","CAP-SMD_BD6.3-L6.6-W6.6-FD",113.282000,-128.456000,180.000000,top
"C73","10uF","CAP-SMD_BD4.0-L4.3-W4.3-FD",136.782000,-140.456000,180.000000,top
"C74","0.1uF","C0603",180.162000,-110.541000,90.000000,top
"C75","0.1uF","C0603",139.505000,-88.100000,-90.000000,top
"C76",".33uF","C0603",210.540000,-66.500000,90.000000,top
"C77","0.1uF","C0603",222.852000,-65.505000,90.000000,top
"C78","0.1uF","C0603",222.852000,-79.693000,90.000000,top
"D1","1N4148W T4","SOD-123_L2.8-W1.8-LS3.7-RD",112.810000,-58.265000,90.000000,top
"LED1","YELLOW","LED0805-R-RD",151.446000,-25.771000,90.000000,top
"LED2","YELLOW","LED0805-R-RD",147.382000,-25.771000,90.000000,top
"LED3","YELLOW","LED0805-R-RD",143.318000,-25.817000,90.000000,top
"LED4","YELLOW","LED0805-R-RD",139.254000,-25.805000,90.000000,top
"LED5","GREEN","LED0805-R-RD",158.558000,-25.771000,90.000000,top
"LED6","RED","LED0805-R-RD",162.622000,-25.737000,90.000000,top
"LED7","GREEN","LED0805-R-RD",166.686000,-25.737000,90.000000,top
"LED8","GREEN","LED0805-R-RD",170.750000,-25.737000,90.000000,top
"LED9","RED","LED0805-R-RD",174.800000,-25.700000,90.000000,top
"LED11","RED","LED0805-R-RD",181.940000,-25.700000,90.000000,top
"LED12","RED","LED0805-R-RD",186.004000,-25.666000,90.000000,top
