"Reference","Qty","Value","LCSC Part","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"C1,C6,C8,C9,C10,C11,C13,C15,C16,C17,C18,C24,C25,C26,C27,C28,C29,C30,C31,C32,C36,C37,C38,C40,C41,C42,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C74,C75,C77,C78","56","0.1uF","C1590","","","","footprints:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10B104KA8NNNC_100nF-104-10-25V_C1590.html"
"C2,C3,C4","3","1.0uF","C29936","","","","footprints:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10B104KA8NNNC_100nF-104-10-25V_C1590.html"
"C5","1","4.7uF","C264246","","","","footprints:CAP-SMD_BD4.0-L4.3-W4.3-LS5.3-FD","https://lcsc.com/product-detail/Others_Semtech-CK1E4R7M0405_C264246.html"
"C7,C19","2","47uF","C141425","","","","footprints:CAP-SMD_BD6.3-L6.6-W6.6-FD","https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_47uF-20-25V_C141425.html"
"C12,C14,C71,C73","4","10uF","C3343","","","","footprints:CAP-SMD_BD4.0-L4.3-W4.3-FD","https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_10uF-25V_C3343.html"
"C20","1","22uF","C2762594","","","","footprints:C0603",""
"C21,C22,C23","3","470pF","C519395","","","","footprints:C0603","~"
"C33,C34,C35,C39","4","47pF","C519392","","","","footprints:C0603","~"
"C43","1","22pF","C519390","","","","footprints:C0603","~"
"C70,C72","2","33uF","C249892","","","","footprints:CAP-SMD_BD6.3-L6.6-W6.6-FD","https://lcsc.com/product-detail/Others_Lelon-VZH330M1E0606-TRO_C249892.html,https://lcsc.com/product-detail/Others_Semtech-CK1E4R7M0405_C264246.html"
"C76","1",".33uF","C1615","","","","footprints:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_330nF-334-10-25V_C1615.html"
"D1","1","1N4148W T4","C2099","","","","footprints:SOD-123_L2.8-W1.8-LS3.7-RD","https://lcsc.com/product-detail/Switching-Diode_1N4148W-T4_C2099.html"
"D3","1","BAT41","","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85659/bat41.pdf"
"J1","1","to WDI","","","","","Connector_IDC:IDC-Header_2x17_P2.54mm_Vertical","SBH11-PBPC-D17-ST-BK"
"J2","1","44-pin IDE","","","","","footprints:SAMTEC-SQT-122-01-X-D-RA",""
"J3","1","Serial","","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J4","1","40-pin IDE","","","","","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","~"
"J5","1","EXT PWR","","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J6","1","Jumper to enable buzzer","","","","","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~"
"LED1,LED2,LED3,LED4","4","YELLOW","C84261","","","","footprints:LED0805-R-RD","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Yellow-light-SMDLED-80-150mcd_C84261.html"
"LED5,LED7,LED8","3","GREEN","C84260","","","","footprints:LED0805-R-RD","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Emerald-SMDLED-180-330mcd_C84260.html"
